SPECTRUM - MS
Pol2_010.RAW
FTMS + p NSI sid=25.00  Full ms2 1000.00@hcd100.00 [1000.00-15000.00]
Scan #: 38-48
RT: 0.86-1.08
AV: 11
Data points: 18008
Mass	Intensity
989.993753	0.000000
990.023306	0.000000
990.052862	0.000000
990.082418	0.000000
1000.088830	0.000000
1000.118837	0.000000
1000.148845	0.000000
1000.178855	0.000000
1000.208866	45.279198
1000.238879	83.027713
1000.268892	111.688451
1000.298908	115.195477
1000.328924	90.174843
1000.358942	0.361667
1000.388961	0.000000
1000.418982	26.593913
1000.449003	140.548160
1000.479027	202.658990
1000.509051	208.677410
1000.539077	157.508513
1000.569104	69.909127
1000.599133	37.691884
1000.629163	72.013114
1000.659194	90.347005
1000.689227	78.179796
1000.719261	43.011727
1000.749297	0.196391
1000.779333	0.000000
1000.809371	0.000000
1000.839411	0.000000
1000.869452	0.000000
1001.741224	0.000000
1001.771305	0.000000
1001.801388	0.000000
1001.831472	0.000000
1001.861558	45.172133
1001.891645	73.779864
1001.921733	86.525602
1001.951822	75.874446
1001.981913	47.745070
1002.012006	53.328729
1002.042099	97.752176
1002.072194	117.942182
1002.102291	99.070717
1002.132388	111.048538
1002.162487	79.343093
1002.192588	90.557725
1002.222689	114.828850
1002.252793	130.322986
1002.282897	100.424773
1002.313003	94.211065
1002.343110	58.522275
1002.373219	0.155705
1002.403328	0.000000
1002.433440	0.000000
1002.463552	0.000000
1002.493666	0.000000
1002.523782	0.000000
1002.553898	0.000000
1002.584016	34.270595
1002.614136	76.596855
1002.644256	99.577821
1002.674379	86.835570
1002.704502	73.325915
1002.734627	57.549612
1002.764753	81.636592
1002.794881	80.037869
1002.825010	55.111538
1002.855140	0.584412
1002.885271	0.000000
1002.915404	0.000000
1002.945539	0.000000
1002.975674	0.000000
1003.126373	0.000000
1003.156517	0.000000
1003.186662	0.000000
1003.216809	0.000000
1003.246957	56.900293
1003.277106	84.679758
1003.307257	154.213858
1003.337409	185.318992
1003.367562	179.122206
1003.397717	122.559415
1003.427873	70.320430
1003.458030	0.191361
1003.488189	0.000000
1003.518349	0.000000
1003.548511	0.000000
1003.578673	0.000000
1003.850200	0.000000
1003.880377	0.000000
1003.910555	0.000000
1003.940734	0.000000
1003.970915	52.747932
1004.001096	81.339957
1004.031280	92.736803
1004.061464	74.545616
1004.091650	36.532390
1004.121838	0.311973
1004.152026	0.000000
1004.182217	0.000000
1004.212408	0.000000
1004.242601	41.329766
1004.272795	69.275351
1004.302990	80.406523
1004.333187	66.362017
1004.363386	37.691024
1004.393585	0.399631
1004.423786	53.506125
1004.453989	99.511206
1004.484192	129.863041
1004.514397	124.998204
1004.544604	87.838323
1004.574812	41.643229
1004.605021	0.005609
1004.635231	0.000000
1004.665443	0.000000
1004.695656	45.405893
1004.725871	82.493881
1004.756087	97.535459
1004.786304	77.375493
1004.816523	36.716692
1004.846743	0.149694
1004.876964	0.000000
1004.907187	0.000000
1004.937411	0.000000
1004.967637	0.000000
1004.997864	0.000000
1005.028092	0.000000
1005.058322	34.484443
1005.088552	88.611879
1005.118785	136.609879
1005.149018	144.985126
1005.179254	107.158025
1005.209490	50.197870
1005.239728	0.205265
1005.269967	0.000000
1005.300207	0.000000
1005.330449	0.000000
1005.360693	0.000000
1005.390937	27.929280
1005.421183	98.430932
1005.451430	157.607766
1005.481679	192.122636
1005.511929	181.205159
1005.542181	129.490192
1005.572433	65.606524
1005.602688	0.013207
1005.632943	0.000000
1005.663200	0.000000
1005.693458	0.000000
1005.723718	0.000000
1005.814505	0.000000
1005.844770	0.000000
1005.875037	0.000000
1005.905304	0.000000
1005.935574	32.840982
1005.965844	74.950548
1005.996116	101.675888
1006.026389	128.761409
1006.056664	119.853056
1006.086940	97.873485
1006.117217	101.099886
1006.147496	78.198074
1006.177776	41.851844
1006.208058	0.172193
1006.238341	0.000000
1006.268625	0.000000
1006.298910	0.000000
1006.329197	0.000000
1006.904909	0.000000
1006.935224	0.000000
1006.965539	0.000000
1006.995856	0.000000
1007.026175	31.987939
1007.056495	61.863158
1007.086816	74.280254
1007.117138	58.091769
1007.147462	25.548772
1007.177788	0.272501
1007.208114	0.000000
1007.238442	0.000000
1007.268772	0.000000
1007.299102	0.000000
1007.329434	0.000000
1007.359768	0.000000
1007.390103	0.000000
1007.420439	0.000000
1007.450777	66.843937
1007.481116	109.475800
1007.511456	115.050545
1007.541798	78.618163
1007.572141	29.073304
1007.602485	0.121291
1007.632831	0.000000
1007.663178	0.000000
1007.693527	0.000000
1007.723877	55.696680
1007.754228	104.400125
1007.784581	135.016431
1007.814935	129.225699
1007.845290	90.802073
1007.875647	43.036074
1007.906005	0.121027
1007.936365	0.000000
1007.966726	0.000000
1007.997088	0.000000
1008.027452	0.000000
1008.057817	66.257706
1008.088183	101.581319
1008.118551	105.965064
1008.148920	79.723558
1008.179290	43.193521
1008.209662	0.182755
1008.240036	0.000000
1008.270410	0.000000
1008.300786	0.000000
1008.331164	0.000000
1008.483071	0.000000
1008.513457	0.000000
1008.543844	0.000000
1008.574232	0.000000
1008.604622	42.194664
1008.635013	76.823855
1008.665405	93.130581
1008.695799	80.246467
1008.726194	48.302952
1008.756591	0.415665
1008.786989	0.000000
1008.817388	0.000000
1008.847789	0.000000
1008.878191	0.000000
1010.064946	0.000000
1010.095403	0.000000
1010.125861	0.000000
1010.156321	0.000000
1010.186783	40.306626
1010.217245	87.389566
1010.247709	120.945430
1010.278175	116.674555
1010.308642	77.239387
1010.339110	31.908834
1010.369579	51.431282
1010.400050	77.543345
1010.430522	82.688139
1010.460996	63.468508
1010.491471	32.957752
1010.521948	0.292283
1010.552425	0.000000
1010.582905	0.000000
1010.613385	0.000000
1010.643867	0.000000
1010.979260	0.000000
1011.009758	0.000000
1011.040258	0.000000
1011.070759	0.000000
1011.101262	54.859217
1011.131766	113.113982
1011.162271	147.334236
1011.192778	131.196323
1011.223286	77.048004
1011.253796	0.020234
1011.284307	0.000000
1011.314819	0.000000
1011.345333	0.000000
1011.375848	0.000000
1011.742136	0.000000
1011.772669	0.000000
1011.803204	0.000000
1011.833740	0.000000
1011.864277	49.064322
1011.894815	93.819178
1011.925355	114.212277
1011.955897	98.871281
1011.986439	61.110593
1012.016983	0.284975
1012.047529	0.000000
1012.078076	0.000000
1012.108624	0.000000
1012.139174	0.000000
1012.200277	0.000000
1012.230831	0.000000
1012.261386	0.000000
1012.291942	0.000000
1012.322500	63.163406
1012.353060	118.608748
1012.383620	151.559570
1012.414182	178.742316
